Number of Cars,Average Flux,Configuration
1,0.025,No Traffic Lights
1,0.02375,No Traffic Lights
1,0.025,No Traffic Lights
2,0.0475,No Traffic Lights
2,0.04875,No Traffic Lights
2,0.05,No Traffic Lights
3,0.07375,No Traffic Lights
3,0.07125,No Traffic Lights
3,0.07375,No Traffic Lights
4,0.09875,No Traffic Lights
4,0.095,No Traffic Lights
4,0.1,No Traffic Lights
5,0.1225,No Traffic Lights
5,0.1225,No Traffic Lights
5,0.12,No Traffic Lights
6,0.14375,No Traffic Lights
6,0.145,No Traffic Lights
6,0.145,No Traffic Lights
7,0.17125,No Traffic Lights
7,0.17,No Traffic Lights
7,0.17125,No Traffic Lights
8,0.19625,No Traffic Lights
8,0.195,No Traffic Lights
8,0.19625,No Traffic Lights
9,0.22,No Traffic Lights
9,0.22,No Traffic Lights
9,0.22375,No Traffic Lights
10,0.24625,No Traffic Lights
10,0.2425,No Traffic Lights
10,0.24375,No Traffic Lights
11,0.26875,No Traffic Lights
11,0.2675,No Traffic Lights
11,0.27,No Traffic Lights
12,0.295,No Traffic Lights
12,0.2875,No Traffic Lights
12,0.295,No Traffic Lights
13,0.32,No Traffic Lights
13,0.31625,No Traffic Lights
13,0.3125,No Traffic Lights
14,0.34,No Traffic Lights
14,0.34125,No Traffic Lights
14,0.33875,No Traffic Lights
15,0.36625,No Traffic Lights
15,0.3625,No Traffic Lights
15,0.365,No Traffic Lights
16,0.3875,No Traffic Lights
16,0.38875,No Traffic Lights
16,0.39125,No Traffic Lights
17,0.41125,No Traffic Lights
17,0.41375,No Traffic Lights
17,0.415,No Traffic Lights
18,0.435,No Traffic Lights
18,0.43375,No Traffic Lights
18,0.43875,No Traffic Lights
19,0.46,No Traffic Lights
19,0.46125,No Traffic Lights
19,0.46,No Traffic Lights
20,0.48625,No Traffic Lights
20,0.485,No Traffic Lights
20,0.48375,No Traffic Lights
21,0.5075,No Traffic Lights
21,0.51,No Traffic Lights
21,0.5075,No Traffic Lights
22,0.53125,No Traffic Lights
22,0.535,No Traffic Lights
22,0.5325,No Traffic Lights
23,0.55875,No Traffic Lights
23,0.555,No Traffic Lights
23,0.5575,No Traffic Lights
24,0.575,No Traffic Lights
24,0.58125,No Traffic Lights
24,0.57875,No Traffic Lights
25,0.605,No Traffic Lights
25,0.605,No Traffic Lights
25,0.60375,No Traffic Lights
26,0.6225,No Traffic Lights
26,0.62125,No Traffic Lights
