Number of Cars,Flux Marker Position,Traffic Light Time,Average Flux
1,149,100,0.01375
1,149,100,0.015
1,149,100,0.01375
2,149,100,0.02875
2,149,100,0.02875
2,149,100,0.03
3,149,100,0.045
3,149,100,0.04375
3,149,100,0.045
4,149,100,0.06
4,149,100,0.05875
4,149,100,0.0575
5,149,100,0.0725
5,149,100,0.07375
5,149,100,0.0725
6,149,100,0.08875
6,149,100,0.0875
6,149,100,0.08625
7,149,100,0.1
7,149,100,0.10125
7,149,100,0.10125
8,149,100,0.11875
8,149,100,0.115
8,149,100,0.1175
9,149,100,0.13125
9,149,100,0.13
9,149,100,0.13
10,149,100,0.14125
10,149,100,0.14375
10,149,100,0.14125
11,149,100,0.15625
11,149,100,0.1575
11,149,100,0.16
12,149,100,0.17
12,149,100,0.17125
12,149,100,0.1625
13,149,100,0.18
13,149,100,0.1825
13,149,100,0.17625
14,149,100,0.1925
14,149,100,0.1875
14,149,100,0.19125
15,149,100,0.2
15,149,100,0.1975
15,149,100,0.2
16,149,100,0.21375
16,149,100,0.2125
16,149,100,0.20875
17,149,100,0.225
17,149,100,0.2225
17,149,100,0.22
18,149,100,0.23
18,149,100,0.23625
18,149,100,0.2325
19,149,100,0.24625
19,149,100,0.25
19,149,100,0.2475
20,149,100,0.25375
20,149,100,0.2525
20,149,100,0.25125
21,149,100,0.265
21,149,100,0.26625
21,149,100,0.26625
22,149,100,0.275
22,149,100,0.27375
22,149,100,0.275
23,149,100,0.28375
23,149,100,0.28625
23,149,100,0.285
24,149,100,0.295
24,149,100,0.29875
24,149,100,0.3
25,149,100,0.30625
25,149,100,0.3075
25,149,100,0.3075
26,149,100,0.3175
26,149,100,0.31875
26,149,100,0.31875
27,149,100,0.3225
27,149,100,0.32375
27,149,100,0.325
28,149,100,0.34125
28,149,100,0.33875
28,149,100,0.32625
29,149,100,0.33875
29,149,100,0.34625
29,149,100,0.34125
30,149,100,0.33625
30,149,100,0.35
30,149,100,0.3475
31,149,100,0.34375
31,149,100,0.33875
31,149,100,0.35
32,149,100,0.355
32,149,100,0.33875
32,149,100,0.34875
33,149,100,0.3325
33,149,100,0.33125
33,149,100,0.34625
34,149,100,0.3475
34,149,100,0.34625
34,149,100,0.3425
35,149,100,0.345
35,149,100,0.3475
35,149,100,0.33875
36,149,100,0.345
36,149,100,0.34875
36,149,100,0.34125
37,149,100,0.35125
37,149,100,0.34125
37,149,100,0.34375
38,149,100,0.3425
38,149,100,0.34125
38,149,100,0.34375
39,149,100,0.325
39,149,100,0.33375
39,149,100,0.35125
40,149,100,0.33625
40,149,100,0.335
40,149,100,0.35
41,149,100,0.34375
41,149,100,0.34375
41,149,100,0.35
42,149,100,0.3425
42,149,100,0.35375
42,149,100,0.34875
43,149,100,0.3425
43,149,100,0.34625
43,149,100,0.3475
44,149,100,0.34375
44,149,100,0.3475
44,149,100,0.33875
45,149,100,0.3325
45,149,100,0.34375
45,149,100,0.34375
46,149,100,0.3375
46,149,100,0.34375
46,149,100,0.32625
47,149,100,0.3475
47,149,100,0.35125
47,149,100,0.3425
48,149,100,0.355
48,149,100,0.3375
48,149,100,0.33375
49,149,100,0.3425
49,149,100,0.34125
49,149,100,0.345
50,149,100,0.33625
50,149,100,0.345
50,149,100,0.34875
51,149,100,0.33625
51,149,100,0.3325
51,149,100,0.33625
52,149,100,0.34
52,149,100,0.33375
52,149,100,0.34625
53,149,100,0.33625
53,149,100,0.34875
53,149,100,0.345
54,149,100,0.34625
54,149,100,0.34375
54,149,100,0.34375
55,149,100,0.345
55,149,100,0.33375
55,149,100,0.34625
56,149,100,0.34125
56,149,100,0.335
56,149,100,0.34875
57,149,100,0.34625
57,149,100,0.3425
57,149,100,0.3375
58,149,100,0.32875
58,149,100,0.3275
58,149,100,0.3375
59,149,100,0.35
59,149,100,0.34875
59,149,100,0.345
60,149,100,0.34625
60,149,100,0.33
60,149,100,0.33875
61,149,100,0.3325
61,149,100,0.3375
61,149,100,0.35
62,149,100,0.3325
62,149,100,0.34875
62,149,100,0.3425
63,149,100,0.34625
63,149,100,0.3425
63,149,100,0.34125
64,149,100,0.34625
64,149,100,0.34125
64,149,100,0.3325
65,149,100,0.34375
65,149,100,0.34625
65,149,100,0.3325
66,149,100,0.35
66,149,100,0.34375
66,149,100,0.3525
67,149,100,0.3425
67,149,100,0.34375
67,149,100,0.34375
68,149,100,0.33
68,149,100,0.345
68,149,100,0.345
69,149,100,0.32875
69,149,100,0.3375
69,149,100,0.345
70,149,100,0.35
70,149,100,0.33375
70,149,100,0.335
71,149,100,0.33125
71,149,100,0.3325
71,149,100,0.34125
72,149,100,0.34375
72,149,100,0.35125
72,149,100,0.3425
73,149,100,0.34875
73,149,100,0.33
