Number of Cars,Flux Marker Position,Traffic Light Time,Average Flux
1,,5,0.02375
1,,5,0.02375
1,,5,0.0225
2,,5,0.0475
2,,5,0.0475
2,,5,0.0475
3,,5,0.07
3,,5,0.07
3,,5,0.06875
4,,5,0.0925
4,,5,0.0925
4,,5,0.0925
5,,5,0.115
5,,5,0.115
5,,5,0.115
6,,5,0.1375
6,,5,0.1375
6,,5,0.13875
7,,5,0.16125
7,,5,0.16125
7,,5,0.16125
8,,5,0.185
8,,5,0.185
8,,5,0.185
9,,5,0.20375
9,,5,0.2075
9,,5,0.2025
10,,5,0.22625
10,,5,0.2275
10,,5,0.22625
11,,5,0.24625
11,,5,0.24375
11,,5,0.24625
12,,5,0.2625
12,,5,0.26625
12,,5,0.26625
13,,5,0.2725
13,,5,0.28375
13,,5,0.2775
14,,5,0.29125
14,,5,0.29375
14,,5,0.28625
15,,5,0.285
15,,5,0.2875
15,,5,0.2775
16,,5,0.295
16,,5,0.2825
16,,5,0.28875
17,,5,0.295
17,,5,0.28875
17,,5,0.28625
18,,5,0.29125
18,,5,0.28
18,,5,0.28875
19,,5,0.29
19,,5,0.29125
19,,5,0.29
20,,5,0.2975
20,,5,0.285
20,,5,0.29625
21,,5,0.29875
21,,5,0.2925
21,,5,0.29625
22,,5,0.3025
22,,5,0.29625
22,,5,0.295
23,,5,0.29625
23,,5,0.29625
23,,5,0.29375
24,,5,0.29875
24,,5,0.2975
24,,5,0.29625
25,,5,0.29375
25,,5,0.29375
25,,5,0.295
26,,5,0.2925
26,,5,0.29125
26,,5,0.3
27,,5,0.2975
27,,5,0.29
27,,5,0.2975
28,,5,0.2925
28,,5,0.30125
28,,5,0.3075
29,,5,0.2925
29,,5,0.2975
29,,5,0.3075
30,,5,0.30375
30,,5,0.305
30,,5,0.29625
31,,5,0.30625
31,,5,0.3025
31,,5,0.2975
32,,5,0.3025
32,,5,0.2925
32,,5,0.30875
33,,5,0.30125
33,,5,0.29875
33,,5,0.3
34,,5,0.305
34,,5,0.3075
34,,5,0.30375
35,,5,0.3125
35,,5,0.30125
35,,5,0.295
36,,5,0.305
36,,5,0.29125
36,,5,0.30625
37,,5,0.30625
37,,5,0.2975
37,,5,0.315
38,,5,0.30125
38,,5,0.3125
38,,5,0.3
39,,5,0.30375
39,,5,0.2975
39,,5,0.305
40,,5,0.30375
40,,5,0.3
40,,5,0.295
41,,5,0.3025
41,,5,0.29875
41,,5,0.3075
42,,5,0.3075
42,,5,0.31
42,,5,0.3075
43,,5,0.3075
43,,5,0.30375
43,,5,0.31125
44,,5,0.305
44,,5,0.31
44,,5,0.31125
45,,5,0.30375
45,,5,0.305
45,,5,0.3075
46,,5,0.315
46,,5,0.30625
46,,5,0.31125
47,,5,0.30125
47,,5,0.31125
47,,5,0.31
48,,5,0.2975
48,,5,0.32
48,,5,0.31125
49,,5,0.305
49,,5,0.32375
49,,5,0.315
50,,5,0.29875
50,,5,0.31125
50,,5,0.305
51,,5,0.3125
51,,5,0.31375
51,,5,0.31125
52,,5,0.3075
52,,5,0.315
52,,5,0.31375
53,,5,0.3175
53,,5,0.3225
53,,5,0.31125
54,,5,0.31125
54,,5,0.31625
54,,5,0.315
55,,5,0.32
55,,5,0.31375
55,,5,0.3175
56,,5,0.31
56,,5,0.32
56,,5,0.31375
57,,5,0.32
57,,5,0.3225
57,,5,0.31125
58,,5,0.31375
58,,5,0.32125
58,,5,0.32
59,,5,0.3175
59,,5,0.31875
59,,5,0.31375
60,,5,0.31375
60,,5,0.31125
60,,5,0.31875
61,,5,0.32
61,,5,0.3225
61,,5,0.32375
62,,5,0.31875
62,,5,0.31375
62,,5,0.3175
63,,5,0.32875
63,,5,0.31875
63,,5,0.32375
64,,5,0.325
64,,5,0.33625
64,,5,0.325
65,,5,0.3275
65,,5,0.3175
65,,5,0.32125
66,,5,0.32375
66,,5,0.31875
66,,5,0.31625
67,,5,0.315
67,,5,0.3175
67,,5,0.32
68,,5,0.335
68,,5,0.33375
68,,5,0.32875
69,,5,0.32125
69,,5,0.33
69,,5,0.3275
70,,5,0.325
70,,5,0.3275
70,,5,0.3225
71,,5,0.32875
71,,5,0.32375
71,,5,0.335
72,,5,0.315
72,,5,0.33
72,,5,0.33375
73,,5,0.3325
73,,5,0.32875
73,,5,0.325
74,,5,0.32375
74,,5,0.32625
74,,5,0.32125
75,,5,0.3275
75,,5,0.3275
75,,5,0.325
76,,5,0.3175
76,,5,0.3175
76,,5,0.3175
77,,5,0.31875
77,,5,0.31625
77,,5,0.325
78,,5,0.32
78,,5,0.31375
78,,5,0.32125
79,,5,0.325
79,,5,0.32
79,,5,0.32625
80,,5,0.31875
80,,5,0.3175
80,,5,0.325
81,,5,0.31375
81,,5,0.3175
81,,5,0.31
82,,5,0.325
82,,5,0.3075
82,,5,0.32125
83,,5,0.31625
83,,5,0.3225
83,,5,0.31875
84,,5,0.3175
84,,5,0.32
84,,5,0.31625
85,,5,0.30625
85,,5,0.32125
85,,5,0.31375
86,,5,0.31125
86,,5,0.3225
86,,5,0.3125
87,,5,0.3125
87,,5,0.32125
87,,5,0.32
88,,5,0.315
88,,5,0.30625
88,,5,0.32
89,,5,0.30625
89,,5,0.31375
89,,5,0.32
90,,5,0.3175
90,,5,0.3075
90,,5,0.32
91,,5,0.31
91,,5,0.31
91,,5,0.3175
92,,5,0.31625
92,,5,0.31125
92,,5,0.31625
93,,5,0.31625
93,,5,0.32375
93,,5,0.30875
94,,5,0.31125
94,,5,0.3175
94,,5,0.30875
95,,5,0.3175
95,,5,0.3125
95,,5,0.3175
96,,5,0.3175
96,,5,0.32125
96,,5,0.315
97,,5,0.3075
97,,5,0.30875
97,,5,0.3
98,,5,0.3075
98,,5,0.3175
98,,5,0.30125
99,,5,0.31125
99,,5,0.31375
99,,5,0.2975
100,,5,0.30375
100,,5,0.3
100,,5,0.30375
101,,5,0.3075
101,,5,0.305
101,,5,0.31
102,,5,0.31
102,,5,0.3125
102,,5,0.30125
103,,5,0.30125
103,,5,0.30875
103,,5,0.31625
104,,5,0.3025
104,,5,0.30625
104,,5,0.30875
105,,5,0.305
105,,5,0.30625
105,,5,0.305
106,,5,0.3
106,,5,0.30375
106,,5,0.305
107,,5,0.3
107,,5,0.31
107,,5,0.31375
108,,5,0.29875
108,,5,0.305
108,,5,0.3075
109,,5,0.32125
109,,5,0.305
109,,5,0.31
110,,5,0.30125
110,,5,0.3025
110,,5,0.305
111,,5,0.30375
111,,5,0.3
111,,5,0.30875
112,,5,0.295
112,,5,0.30625
112,,5,0.29625
113,,5,0.30625
113,,5,0.29625
113,,5,0.29875
114,,5,0.29875
114,,5,0.31
114,,5,0.3025
115,,5,0.29625
115,,5,0.28875
115,,5,0.30125
116,,5,0.305
116,,5,0.28875
116,,5,0.29625
117,,5,0.2975
117,,5,0.29625
117,,5,0.305
118,,5,0.29125
118,,5,0.2925
118,,5,0.30125
119,,5,0.29875
119,,5,0.30375
119,,5,0.285
120,,5,0.2925
120,,5,0.2975
120,,5,0.28875
121,,5,0.29625
121,,5,0.29375
121,,5,0.29875
122,,5,0.29
122,,5,0.2975
122,,5,0.29125
123,,5,0.295
123,,5,0.28625
123,,5,0.295
124,,5,0.29375
124,,5,0.29875
124,,5,0.295
125,,5,0.29125
125,,5,0.2925
125,,5,0.28625
126,,5,0.29125
126,,5,0.295
126,,5,0.2875
127,,5,0.27625
127,,5,0.29875
127,,5,0.29375
128,,5,0.2825
128,,5,0.28375
128,,5,0.28375
129,,5,0.2875
129,,5,0.28375
129,,5,0.285
130,,5,0.285
130,,5,0.28875
130,,5,0.28375
131,,5,0.27875
131,,5,0.2825
131,,5,0.2825
132,,5,0.27875
132,,5,0.285
132,,5,0.28
133,,5,0.28125
133,,5,0.27625
133,,5,0.28
134,,5,0.275
134,,5,0.27
134,,5,0.275
135,,5,0.2725
135,,5,0.27125
135,,5,0.2725
136,,5,0.265
136,,5,0.26375
136,,5,0.27125
137,,5,0.2625
137,,5,0.26125
137,,5,0.265
138,,5,0.2575
138,,5,0.26625
138,,5,0.25625
139,,5,0.255
139,,5,0.25625
139,,5,0.25625
140,,5,0.25
140,,5,0.25375
140,,5,0.25375
141,,5,0.24875
141,,5,0.25
141,,5,0.25375
142,,5,0.2425
142,,5,0.25
142,,5,0.24625
143,,5,0.24375
143,,5,0.23625
143,,5,0.2375
144,,5,0.2325
144,,5,0.2425
144,,5,0.2425
145,,5,0.2375
145,,5,0.23625
145,,5,0.23125
146,,5,0.23
146,,5,0.2275
146,,5,0.23
147,,5,0.22875
147,,5,0.22625
147,,5,0.2325
148,,5,0.22625
148,,5,0.21875
148,,5,0.2275
149,,5,0.21875
149,,5,0.2175
149,,5,0.21875
150,,5,0.2225
150,,5,0.20875
150,,5,0.2125
151,,5,0.21375
151,,5,0.2125
151,,5,0.21
152,,5,0.205
152,,5,0.20375
152,,5,0.20125
153,,5,0.20375
153,,5,0.21
153,,5,0.2025
154,,5,0.2
154,,5,0.2025
154,,5,0.195
155,,5,0.19875
155,,5,0.19125
155,,5,0.1925
156,,5,0.19375
156,,5,0.1925
156,,5,0.18875
157,,5,0.185
157,,5,0.18625
157,,5,0.18625
158,,5,0.18125
158,,5,0.185
158,,5,0.18375
159,,5,0.1775
159,,5,0.18
159,,5,0.17375
160,,5,0.17375
160,,5,0.1775
160,,5,0.16625
161,,5,0.16625
161,,5,0.17
161,,5,0.17125
162,,5,0.16375
162,,5,0.16375
162,,5,0.17
163,,5,0.16
163,,5,0.1625
163,,5,0.16625
164,,5,0.1575
164,,5,0.1625
164,,5,0.15375
165,,5,0.15125
165,,5,0.15125
165,,5,0.15375
166,,5,0.1475
166,,5,0.15125
166,,5,0.14875
167,,5,0.14625
167,,5,0.14
167,,5,0.1475
168,,5,0.13625
168,,5,0.13625
168,,5,0.13875
169,,5,0.135
169,,5,0.13
169,,5,0.13375
170,,5,0.13125
170,,5,0.1325
170,,5,0.13125
171,,5,0.12625
171,,5,0.13125
171,,5,0.12625
172,,5,0.12375
172,,5,0.125
172,,5,0.12375
173,,5,0.11375
173,,5,0.1175
173,,5,0.1175
174,,5,0.1125
174,,5,0.115
174,,5,0.11125
175,,5,0.105
175,,5,0.1075
175,,5,0.11125
176,,5,0.1
176,,5,0.105
176,,5,0.11
177,,5,0.10125
177,,5,0.1
177,,5,0.105
178,,5,0.09875
178,,5,0.09625
178,,5,0.09625
179,,5,0.09375
179,,5,0.0925
179,,5,0.09
180,,5,0.09
180,,5,0.08375
180,,5,0.09
181,,5,0.08625
181,,5,0.08375
181,,5,0.08375
182,,5,0.075
182,,5,0.08125
182,,5,0.08125
183,,5,0.0725
183,,5,0.07125
183,,5,0.0725
184,,5,0.06875
184,,5,0.07125
184,,5,0.0725
185,,5,0.07125
185,,5,0.0675
185,,5,0.0625
186,,5,0.06125
186,,5,0.06125
186,,5,0.0625
187,,5,0.05625
187,,5,0.05625
187,,5,0.05375
188,,5,0.05125
188,,5,0.05375
188,,5,0.0525
189,,5,0.05
189,,5,0.05125
189,,5,0.04625
190,,5,0.045
190,,5,0.04375
190,,5,0.0425
191,,5,0.04
191,,5,0.03875
191,,5,0.04125
192,,5,0.03625
192,,5,0.03375
192,,5,0.03625
193,,5,0.03125
193,,5,0.0325
193,,5,0.0325
194,,5,0.025
194,,5,0.02625
194,,5,0.02625
195,,5,0.025
195,,5,0.02375
195,,5,0.0225
196,,5,0.0175
196,,5,0.02
196,,5,0.0175
197,,5,0.01125
197,,5,0.0125
197,,5,0.0125
198,,5,0.0075
198,,5,0.01
198,,5,0.00875
199,,5,0.005
199,,5,0.005
199,,5,0.005
